Date,adj close,Date,Comp,Negative,Neutral,Positive
2007-05-18,13556.530273,2007-05-18,-0.9979,0.147,0.796,-0.9979
2007-05-19,13551.980143,2007-05-19,-0.7306,0.106,0.799,-0.7306
2007-05-20,13547.430013,2007-05-20,-0.9978,0.221,0.675,-0.9978
2007-05-21,13542.879883,2007-05-21,-0.9862,0.126,0.786,-0.9862
2007-05-22,13539.950195,2007-05-22,-0.9995,0.204,0.717,-0.9995
2007-05-23,13525.650391,2007-05-23,-0.9955,0.149,0.764,-0.9955
2007-05-24,13441.129883,2007-05-24,-0.9988,0.188,0.701,-0.9988
2007-05-25,13507.280273,2007-05-25,-0.9422,0.102,0.806,-0.9422
2007-05-26,13510.79516575,2007-05-26,-0.9971,0.183,0.723,-0.9971
2007-05-27,13514.3100585,2007-05-27,-0.9827,0.158,0.741,-0.9827
2007-05-28,13517.82495125,2007-05-28,-0.995,0.202,0.692,-0.995
2007-05-29,13521.339844,2007-05-29,-0.9956,0.151,0.741,-0.9956
2007-05-30,13633.080078,2007-05-30,-0.9853,0.106,0.821,-0.9853
2007-05-31,13627.639648,2007-05-31,-0.998,0.158,0.751,-0.998
2007-06-01,13668.110352,2007-06-01,-0.9912,0.117,0.811,-0.9912
2007-06-02,13670.847005333333,2007-06-02,-0.9953,0.166,0.755,-0.9953
2007-06-03,13673.583658666666,2007-06-03,-0.9974,0.219,0.668,-0.9974
2007-06-04,13676.320312,2007-06-04,-0.9975,0.132,0.82,-0.9975
2007-06-05,13595.459961,2007-06-05,-0.9925,0.126,0.778,-0.9925
2007-06-06,13465.669922,2007-06-06,-0.9972,0.15,0.777,-0.9972
2007-06-07,13266.730469,2007-06-07,-0.9824,0.103,0.82,-0.9824
2007-06-08,13424.389648,2007-06-08,-0.976,0.126,0.771,-0.976
2007-06-09,13424.579752333333,2007-06-09,-0.9926,0.187,0.698,-0.9926
2007-06-10,13424.769856666668,2007-06-10,-0.9802,0.16,0.714,-0.9802
2007-06-11,13424.959961,2007-06-11,0.8105,0.075,0.832,0.8105
2007-06-12,13295.009766,2007-06-12,-0.9983,0.161,0.736,-0.9983
2007-06-13,13482.349609,2007-06-13,-0.9966,0.155,0.747,-0.9966
2007-06-14,13553.730469,2007-06-14,-0.999,0.182,0.726,-0.999
2007-06-15,13639.480469,2007-06-15,-0.9976,0.151,0.765,-0.9976
2007-06-16,13630.647135666666,2007-06-16,-0.9893,0.168,0.723,-0.9893
2007-06-17,13621.813802333334,2007-06-17,-0.9899,0.151,0.757,-0.9899
2007-06-18,13612.980469,2007-06-18,-0.9632,0.147,0.727,-0.9632
2007-06-19,13635.419922,2007-06-19,-0.9961,0.143,0.762,-0.9961
2007-06-20,13489.419922,2007-06-20,0.9728,0.112,0.765,0.9728
2007-06-21,13545.839844,2007-06-21,-0.9947,0.129,0.775,-0.9947
2007-06-22,13360.259766,2007-06-22,-0.9912,0.107,0.833,-0.9912
2007-06-23,13357.523112333332,2007-06-23,-0.9983,0.213,0.701,-0.9983
2007-06-24,13354.786458666667,2007-06-24,-0.9875,0.169,0.712,-0.9875
2007-06-25,13352.049805,2007-06-25,-0.8723,0.095,0.821,-0.8723
2007-06-26,13337.660156,2007-06-26,-0.9282,0.097,0.82,-0.9282
2007-06-27,13427.730469,2007-06-27,-0.9834,0.124,0.77,-0.9834
2007-06-28,13422.280273,2007-06-28,-0.9967,0.145,0.768,-0.9967
2007-06-29,13408.620117,2007-06-29,-0.9986,0.187,0.707,-0.9986
2007-06-30,13450.889974,2007-06-30,-0.9994,0.217,0.68,-0.9994
2007-07-01,13493.159831,2007-07-01,-0.9898,0.153,0.764,-0.9898
2007-07-02,13535.429688,2007-07-02,-0.9783,0.141,0.747,-0.9783
2007-07-03,13577.299805,2007-07-03,-0.9895,0.098,0.836,-0.9895
2007-07-04,13571.5698245,2007-07-04,-0.98,0.132,0.77,-0.98
2007-07-05,13565.839844,2007-07-05,-0.9834,0.117,0.8,-0.9834
2007-07-06,13611.679688,2007-07-06,-0.9959,0.125,0.806,-0.9959
2007-07-07,13624.443034333333,2007-07-07,-0.9853,0.163,0.734,-0.9853
2007-07-08,13637.206380666667,2007-07-08,-0.9959,0.2,0.68,-0.9959
2007-07-09,13649.969727,2007-07-09,-0.9965,0.148,0.784,-0.9965
2007-07-10,13501.700195,2007-07-10,-0.9982,0.151,0.756,-0.9982
2007-07-11,13577.870117,2007-07-11,-0.9989,0.171,0.784,-0.9989
2007-07-12,13861.730469,2007-07-12,-0.9916,0.123,0.811,-0.9916
2007-07-13,13907.25,2007-07-13,-0.9868,0.139,0.747,-0.9868
2007-07-14,13921.826823,2007-07-14,-0.9973,0.204,0.73,-0.9973
2007-07-15,13936.403646,2007-07-15,-0.7524,0.148,0.705,-0.7524
2007-07-16,13950.980469,2007-07-16,-0.9984,0.167,0.735,-0.9984
2007-07-17,13971.549805,2007-07-17,-0.9928,0.131,0.776,-0.9928
2007-07-18,13918.219727,2007-07-18,-0.9885,0.124,0.772,-0.9885
2007-07-19,14000.410156,2007-07-19,-0.9967,0.152,0.743,-0.9967
2007-07-20,13851.080078,2007-07-20,-0.9921,0.147,0.743,-0.9921
2007-07-21,13881.860026,2007-07-21,-0.9691,0.125,0.797,-0.9691
2007-07-22,13912.639974,2007-07-22,-0.9691,0.142,0.742,-0.9691
2007-07-23,13943.419922,2007-07-23,-0.9104,0.086,0.839,-0.9104
2007-07-24,13716.950195,2007-07-24,0.9818,0.126,0.727,0.9818
2007-07-25,13785.070312,2007-07-25,-0.9935,0.154,0.732,-0.9935
2007-07-26,13473.570312,2007-07-26,-0.749,0.14,0.722,-0.749
2007-07-27,13265.469727,2007-07-27,-0.9986,0.187,0.701,-0.9986
2007-07-28,13296.416341333334,2007-07-28,-0.9977,0.176,0.783,-0.9977
2007-07-29,13327.362955666666,2007-07-29,-0.6412,0.121,0.767,-0.6412
2007-07-30,13358.30957,2007-07-30,0.9706,0.1,0.784,0.9706
2007-07-31,13211.990234,2007-07-31,-0.9996,0.163,0.735,-0.9996
2007-08-01,13362.370117,2007-08-01,-0.9947,0.155,0.736,-0.9947
2007-08-02,13463.330078,2007-08-02,-0.9959,0.143,0.759,-0.9959
2007-08-03,13181.910156,2007-08-03,-0.9276,0.124,0.78,-0.9276
2007-08-04,13277.533528333333,2007-08-04,-0.9905,0.157,0.751,-0.9905
